"store_id","brandid","brandName","categoryid","categoryName","isDeleted","plazaName","plazaUnitid","storeName","brand_name","category_name","is_deleted","plaza_name","plaza_unitid","store_name"
"BJTZ000371","1026188","韩时烤肉","102","餐饮美食","0","北京通州","超B1002","韩时烤肉",,,"0",,,
"BJTZ0302","1026963","LINCchic","103","服装服饰","0","北京通州","2019A","LINCchic",,,"0",,,
"BJTZ0248","1026994","冰之缘","102","餐饮美食","1","北京通州","B1010","冰之缘",,,"0",,,
"BJTZ0288","1032182","MAGMODE","103","服装服饰","0","北京通州","1022B,1023","MAGMODE",,,"0",,,
"BJTZ000423","1033447","adidas originals","104","生活精品","0","北京通州","1006A","adidas originals",,,"0",,,
"BJTZ0307","1037107","Montblanc","104","生活精品","1","北京通州","1032","Montblanc",,,"0",,,
"BJTZ0250","1027131","达美乐比萨","102","餐饮美食","0","北京通州","1015B","达美乐比萨",,,"0",,,
"BJTZ00355","1028129","廖记棒棒鸡","102","餐饮美食","1","北京通州","B1019B,B1019C","廖记棒棒鸡",,,"0",,,
"BJTZ000367","1028129","廖记棒棒鸡","102","餐饮美食","1","北京通州","超B1013","廖记棒棒鸡",,,"0",,,
"BJTZ0306","1028259","麦檬","103","服装服饰","0","北京通州","2039","麦檬",,,"0",,,
"BJTZ0251","1028830","Pomme de terre","1000285","儿童业态","1","北京通州","2025A","Pomme de terre",,,"0",,,
"BJTZ0273","1028855","KING","103","服装服饰","0","北京通州","30,583,059","KING",,,"0",,,
"BJTZ000413","1028857","一点点","102","餐饮美食","0","北京通州","超B1015","一点点",,,"0",,,
"BJTZ0308","1028975","念奴娇","103","服装服饰","0","北京通州","2005","念奴娇",,,"0",,,
"BJTZ0261","1029118","德州扒鸡","104","生活精品","1","北京通州","B1019C,B1019B","德州扒鸡",,,"0",,,
"BJTZ0257","1029255","澳门味道（澳九记）","102","餐饮美食","1","北京通州","B1010,B1011,B1009B,B1009A","澳门味道（澳九记）",,,"0",,,
"BJTZ000399","1029523","New Era","104","生活精品","0","北京通州","3013","New Era",,,"0",,,
"BJTZ0274","1029739","Vaper 77","104","生活精品","1","北京通州","3031","Vaper 77",,,"0",,,
"BJTZ0281","1029741","XII BASKET","103","服装服饰","0","北京通州","1021,1022A","XII BASKET",,,"0",,,
"BJTZ0336","1029767","盛世雅歌琴行","1000290","体验业态","0","北京通州","3038B","盛世雅歌琴行",,,"0",,,
"BJTZ0258","1030453","麦驰","102","餐饮美食","1","北京通州","B1018B","麦驰",,,"0",,,
"BJTZ0315","1030562","LeeMonsan","103","服装服饰","0","北京通州","2017B","LeeMonsan",,,"0",,,
"BJTZ000361","1036817","BOYLONDON","103","服装服饰","0","北京通州","3021","BOYLONDON",,,"0",,,
"BJTZ000356","1036958","NOME","104","生活精品","1","北京通州","3035","NOME",,,"0",,,
"BJTZ000380","1037407","一心向膳","102","餐饮美食","1","北京通州","超B1015","一心向膳",,,"0",,,
"BJTZ0276","1037458","好面坊","102","餐饮美食","0","北京通州","4019A","好面坊",,,"0",,,
"BJTZ0275","1037485","AJS PARADISE","103","服装服饰","1","北京通州","2020","AJS PARADISE",,,"0",,,
"BJTZ0334","1037730","Little MO&CO.","1000285","儿童业态","0","北京通州","2025A","Little MO&CO.",,,"0",,,
"BJTZ0291","1037899","MONtoSUN","104","生活精品","1","北京通州","2036","MONtoSUN",,,"0",,,
"BJTZ0294","1038088","POGO","104","生活精品","1","北京通州","3021","POGO",,,"0",,,
"BJTZ0330","1039117","MLMR","103","服装服饰","0","北京通州","3051","MLMR",,,"0",,,
"BJTZ0287","1039152","tanni","103","服装服饰","0","北京通州","1018A","tanni",,,"0",,,
"BJTZ0331","1039284","JACK&JONES","103","服装服饰","0","北京通州","3052","JACK&JONES",,,"0",,,
"BJTZ000366","1042020","栗栗家","102","餐饮美食","0","北京通州","超B1008","栗栗家",,,"0",,,
"BJTZ0312","1038942","Smile Froyo","102","餐饮美食","0","北京通州","3007","Smile Froyo",,,"0",,,
"BJTZ0341","1038950","旺顺阁","102","餐饮美食","0","北京通州","4026B","旺顺阁",,,"0",,,
"BJTZ000388","1038412","喜茶","102","餐饮美食","0","北京通州","10,271,028","喜茶",,,"0",,,
"BJTZ000402","200060782","EVERLAST","104","生活精品","0","北京通州","3055","EVERLAST",,,"0",,,
"BJTZ000411","1041807","见味花甲","102","餐饮美食","0","北京通州","超B1007","见味花甲",,,"0",,,
"BJTZ0339","1040781","斗牛要不要","102","餐饮美食","1","北京通州","B1020A","斗牛要不要",,,"0",,,
"BJTZ0344","1042587","疯卷春饼","102","餐饮美食","0","北京通州","4006B","疯卷春饼",,,"0",,,
"BJTZ000381","100051524","满满","102","餐饮美食","0","北京通州","超B1016","满满",,,"0",,,
"BJTZ000421","100055287","华为体验店","104","生活精品","0","北京通州","1052A,1052B","华为体验店",,,"0",,,
"BJTZ0352","100057157","Ooh Dear","104","生活精品","0","北京通州","2028A","Ooh Dear",,,"0",,,
"BJTZ0353","100056858","智蜂巢","104","生活精品","0","北京通州","3022","智蜂巢",,,"0",,,
"BJTZ000405","200081674","那时小馆","102","餐饮美食","0","北京通州","4003A","那时小馆",,,"0",,,
"BJTZ000395","200071515","呱呱蛙","102","餐饮美食","0","北京通州","4026A","呱呱蛙",,,"0",,,
"BJTZ000396","200063096","功夫猫海派砂锅鱼","102","餐饮美食","0","北京通州","4009A","功夫猫海派砂锅鱼",,,"0",,,
"BJTZ000364","200056369","阿棠锅盔","102","餐饮美食","1","北京通州","4020A","阿棠锅盔",,,"0",,,
"BJTZ00354","200056369","阿棠锅盔","102","餐饮美食","1","北京通州","B1020A","阿棠锅盔",,,"0",,,
"BJTZ000386","200063935","Find智慧钢琴学院","1000290","体验业态","0","北京通州","3063B","Find智慧钢琴学院",,,"0",,,
"BJTZ000387","200063935","Find智慧钢琴学院","1000290","体验业态","0","北京通州","3065","Find智慧钢琴学院",,,"0",,,
"BJTZ000363","200063481","蜀江酷","102","餐饮美食","0","北京通州","4020C,4021B","蜀江酷",,,"0",,,
"BJTZ000385","200072346","蜀呱呱","102","餐饮美食","0","北京通州","超B1020","蜀呱呱",,,"0",,,
"BJTZ000422","200081442","MQ（餐饮）","102","餐饮美食","0","北京通州","4003B","MQ（餐饮）",,,"0",,,
"BJTZ000369","200073236","i味花甲","102","餐饮美食","0","北京通州","4020A","i味花甲",,,"0",,,
"BJTZ000426","200084129","吉板坡","102","餐饮美食","0","北京通州","4020A","吉板坡",,,"0",,,
"BJTZ000401","200073860","玛雅铁板烧","102","餐饮美食","0","北京通州","4015B","玛雅铁板烧",,,"0",,,
"BJTZ000357","200050178","雪乐山","1000290","体验业态","0","北京通州","3036","雪乐山",,,"0",,,
"BJTZ000392","200050285","Degré Zéro","103","服装服饰","0","北京通州","3053B","Degré Zéro",,,"0",,,
"BJTZ000359","200052574","飞鸟和新酒","103","服装服饰","0","北京通州","2006","飞鸟和新酒",,,"0",,,
"BJTZ000412","200084462","myomy","104","生活精品","0","北京通州","1032","myomy",,,"0",,,
"BJTZ000427","200087429","竹家庄避风塘","102","餐饮美食","0","北京通州","4026A","竹家庄避风塘",,,"0",,,
"BJTZ000362","200059915","云迹普洱","104","生活精品","0","北京通州","1006B","云迹普洱",,,"0",,,
"BJTZ000373","200069594","云桥边","102","餐饮美食","0","北京通州","超B1005","云桥边",,,"0",,,
"BJTZ000377","200069631","JUST LU IT","102","餐饮美食","0","北京通州","超B1010","JUST LU IT",,,"0",,,
"BJTZ000376","200069698","虾小士","102","餐饮美食","0","北京通州","超B1009","虾小士",,,"0",,,
"BJTZ000374","200069597","渝调调儿","102","餐饮美食","0","北京通州","超B1006","渝调调儿",,,"0",,,
"BJTZ000378","200069634","猪兄弟","102","餐饮美食","0","北京通州","超B1011","猪兄弟",,,"0",,,
"BJTZ000383","200069642","炸鸡皇后","102","餐饮美食","1","北京通州","超B1018","炸鸡皇后",,,"0",,,
"BJTZ000379","200069646","熊猫日记","102","餐饮美食","1","北京通州","超B1012","熊猫日记",,,"0",,,
"BJTZ000384","200069645","面蛋说","102","餐饮美食","0","北京通州","超B1019","面蛋说",,,"0",,,
"BJTZ000406","200069727","OVV","103","服装服饰","0","北京通州","1019","OVV",,,"0",,,
"BJTZ2888","66423","pizza hut","102","餐饮美食","0","北京通州","1002,2055B","pizza hut",,,"0",,,
"BJTZ2889","66424","Yaltas","103","服装服饰","0","北京通州","1007A","Yaltas",,,"0",,,
"BJTZ2890","66425","达乐美披萨","102","餐饮美食","0","北京通州","1015B","达乐美披萨",,,"0",,,
"BJTZ2891","66426","Hope Show","103","服装服饰","0","北京通州","2001","Hope Show",,,"0",,,
"BJTZ2892","66427","Jngcl","104","生活精品","0","北京通州","2029B","Jngcl",,,"0",,,
"BJTZ2893","66428","谜底","103","服装服饰","0","北京通州","2019B","谜底",,,"0",,,
"BJTZ2894","66429","BOY LONDON","103","服装服饰","0","北京通州","3021-3025","BOY LONDON",,,"0",,,
"BJTZ2895","66430","MISHKA","103","服装服饰","0","北京通州","3029","MISHKA",,,"0",,,
"BJTZ28880","66423","pizza hut","102","餐饮美食","0","北京通州","1002,2055B","pizza hut",,,"0",,,
"BJTZ28881","66424","Yaltas","103","服装服饰","0","北京通州","1007A","Yaltas",,,"0",,,
"BJTZ28882","66425","达乐美披萨","102","餐饮美食","0","北京通州","1015B","达乐美披萨",,,"0",,,
"BJTZ28883","66426","Hope Show","103","服装服饰","0","北京通州","2001","Hope Show",,,"0",,,
"BJTZ28884","66427","Jngcl","104","生活精品","0","北京通州","2029B","Jngcl",,,"0",,,
"BJTZ28885","66428","谜底","103","服装服饰","0","北京通州","2019B","谜底",,,"0",,,
"BJTZ28886","66429","BOY LONDON","103","服装服饰","0","北京通州","3021-3025","BOY LONDON",,,"0",,,
"BJTZ28887","66430","MISHKA","103","服装服饰","0","北京通州","3029","MISHKA",,,"0",,,
