NodeID,StoreName,DEFAULTSTARTDATE,DEFAULTEXPIRYDATE,idx,PlazaUnitID,new_category
3S-21,NBA,2017-08-29 00:00:00,2020-08-28 00:00:00,51,3023,运动休闲
3S-22,素拼,2018-02-14 00:00:00,2019-12-13 00:00:00,41,3025,男装
3S-23,vans,2014-11-29 00:00:00,2021-08-28 00:00:00,52,3026,鞋品箱包
3S-24,小鲸的匹萨,2014-11-29 00:00:00,2020-08-28 00:00:00,53,3027,休闲快餐与饮品
3S-25,热风,2014-11-29 00:00:00,2021-08-28 00:00:00,21,3028,潮流时尚
3S-26,Apple,2018-03-01 00:00:00,2021-02-28 00:00:00,83,3029,数码电子
3S-27,华为,2017-08-29 00:00:00,2020-08-28 00:00:00,1,3030A,数码电子
3S-28,阿吉豆,2014-11-29 00:00:00,2021-08-28 00:00:00,56,3030B,配饰珠宝
3S-29,Vaper 77,2017-06-01 00:00:00,2019-10-31 00:00:00,54,3031,杂品集合
3S-30,乐友,2018-04-01 00:00:00,2021-03-31 00:00:00,62,3032-3033,亲子
3S-31,名创优品,2019-08-25 00:00:00,2022-08-24 00:00:00,18,3035,杂品集合
3S-32,雪乐山,2018-09-10 00:00:00,2021-09-09 00:00:00,89,3036,体验业态
3S-34,大玩家,2014-11-29 00:00:00,2024-11-28 00:00:00,19,娱乐楼3FA,体验业态
3S-35,启路文具,2014-11-29 00:00:00,2021-08-28 00:00:00,20,3038A,杂品集合
3S-36,盛世雅歌琴行,2017-11-01 00:00:00,2020-10-31 00:00:00,87,3038B,体验业态
3S-37,Onitsuka Tiger,2017-08-29 00:00:00,2020-08-28 00:00:00,84,3039A,鞋品箱包
3S-38,THE SHOES BAR,2017-08-29 00:00:00,2020-08-28 00:00:00,55,3039B,鞋品箱包
3S-39,LEVI'S,2017-08-29 00:00:00,2020-08-28 00:00:00,42,3050,潮流时尚
3S-40,MLMR,2017-08-29 00:00:00,2020-08-28 00:00:00,11,3051,男装
3S-41,JACK&JONES,2017-08-29 00:00:00,2020-08-28 00:00:00,103,3052,潮流时尚
3S-42,J.D.V,2017-08-29 00:00:00,2020-08-28 00:00:00,116,3053A,男装
3S-43,Degré Zéro,2019-06-29 00:00:00,2021-06-28 00:00:00,104,3053B,男装
3S-44,EVERLAST,2019-08-15 00:00:00,2022-08-14 00:00:00,164,3055,运动休闲
3S-45,GXG,2014-11-29 00:00:00,2021-08-28 00:00:00,70,3056,男装
3S-46,七匹狼,2016-07-21 00:00:00,2021-07-26 00:00:00,35,3057,男装
3S-47,KING,2017-06-01 00:00:00,2020-05-31 00:00:00,3,3058-3059,男装
3S-48,罗宾汉,2017-08-29 00:00:00,2020-08-28 00:00:00,108,3060,男装
3S-49,ABLE JEANS,2017-08-29 00:00:00,2020-08-28 00:00:00,43,3061,潮流时尚
3S-50,索菲亚,2015-07-20 00:00:00,2021-07-19 00:00:00,136,3062,家居家用
3S-51,OSIM,2019-08-10 00:00:00,2022-08-09 00:00:00,165,3063A,运动休闲
